Sno,Episodes,Title,Director,Writer,Air_date,Seasons,Viewers
75,15,"""Tick Tock""",Roger Kumble,Daniel Arkin,"February 24, 2016",S5,1.73
76,16,"""25th Hour""",Anton Cropper,Aaron Korsh,"March 2, 2016",S5,1.71
77,1,"""To Trouble""",Silver Tree,Aaron Korsh,"July 13, 2016",S6,1.85
78,2,"""Accounts Payable""",Michael Smith,Ethan Drogin,"July 20, 2016",S6,1.65
79,3,"""Back on the Map""",Cherie Nowlan,Rick Muirragui,"July 27, 2016",S6,1.78
80,4,"""Turn""",Christopher Misiano,Daniel Arkin,"August 3, 2016",S6,1.81
81,5,"""Trust""",Kate Dennis,Kyle Long,"August 10, 2016",S6,1.51
82,6,"""Spain""",Silver Tree,Genevieve Sparling,"August 17, 2016",S6,1.68
83,7,"""Shake the Trees""",Anton Cropper,Rick Muirragui & Sandra Silverstein,"August 24, 2016",S6,1.83
84,8,"""Borrowed Time""",Gabriel Macht,Sharyn Rothstein,"August 31, 2016",S6,1.88
85,9,"""The Hand That Feeds You""",Roger Kumble,Daniel Arkin,"September 7, 2016",S6,1.87
86,10,"""P.S.L.""",Kevin Bray,Aaron Korsh & Genevieve Sparling,"September 14, 2016",S6,1.92
87,11,"""She's Gone""",Patrick J. Adams,Aaron Korsh & Rick Muirragui,"January 25, 2017",S6,1.37
88,12,"""The Painting""",Gregor Jordan,Sharyn Rothstein & Sandra Silverstein,"February 1, 2017",S6,1.53
89,13,"""Teeth, Nose, Teeth""",Silver Tree,Kyle Long,"February 8, 2017",S6,1.28
90,14,"""Admission of Guilt""",Michael Smith,Ethan Drogin,"February 15, 2017",S6,1.21
91,15,"""Quid Pro Quo""",Maurice Marable,Aaron Korsh & Daniel Arkin,"February 22, 2017",S6,1.25
92,16,"""Character and Fitness""",Roger Kumble,Genevieve Sparling,"March 1, 2017",S6,1.13
93,1,"""Skin in the Game""",Silver Tree,Aaron Korsh,"July 12, 2017",S7,1.40
94,2,"""The Statue""",Michael Smith,Genevieve Sparling,"July 19, 2017",S7,1.36
95,3,"""Mudmare""",Maurice Marable,Sharyn Rothstein,"July 26, 2017",S7,1.41
96,4,"""Divide and Conquer""",Anton Cropper,Daniel Arkin,"August 2, 2017",S7,1.41
97,5,"""Brooklyn Housing""",Roger Kumble,Marshall Knight & Rob LaMorgese,"August 9, 2017",S7,1.29
98,6,"""Home to Roost""",Valerie Weiss,Sandra Silverstein,"August 16, 2017",S7,1.47
99,7,"""Full Disclosure""",Cherie Nowlan,Ethan Drogin,"August 23, 2017",S7,1.35
100,8,"""100""",Patrick J. Adams,Rick Muirragui,"August 30, 2017",S7,1.51
101,9,"""Shame""",Silver Tree,Sharyn Rothstein,"September 6, 2017",S7,1.64
102,10,"""Donna""",Michael Smith,Genevieve Sparling,"September 13, 2017",S7,1.68
103,11,"""Hard Truths""",Christopher Misiano,Ethan Drogin,"March 28, 2018",S7,1.18
104,12,"""Bad Man""",Roger Kumble,Rick Muirragui,"April 4, 2018",S7,1.06
105,13,"""Inevitable""",Christopher Misiano,Genevieve Sparling,"April 11, 2018",S7,0.95
106,14,"""Pulling the Goalie""",Emile Levisetti,Aaron Korsh & Sharyn Rothstein,"April 18, 2018",S7,0.99
107,15,"""Tiny Violin""",Christopher Misiano,Aaron Korsh & Daniel Arkin,"April 25, 2018",S7,1.09
108,16,"""Good-Bye""",Anton L. Cropper,Aaron Korsh & Daniel Arkin,"April 25, 2018",S7,1.07
109,1,"""Right-Hand Man""",Christopher Misiano,Aaron Korsh,"July 18, 2018",S8,1.27
110,2,"""Pecking Order""",Michael Smith,Genevieve Sparling,"July 25, 2018",S8,1.18
111,3,"""Promises, Promises""",Roger Kumble,Rob LaMorgese & Marshall Knight,"August 1, 2018",S8,1.16
112,4,"""Revenue Per Square Foot""",Michael Smith,Ethan Drogin,"August 8, 2018",S8,1.09
113,5,"""Good Mudding""",Valerie Weiss,Sharyn Rothstein,"August 15, 2018",S8,1.15
114,6,"""Cats, Ballet, Harvey Specter""",Emile Levisetti,Garrett Schabb,"August 22, 2018",S8,1.22
115,7,"""Sour Grapes""",Gabriel Macht,Ian Deitchman & Kristin Robinson,"August 29, 2018",S8,1.13
116,8,"""Coral Gables""",Christopher Misiano,Marshall Knight & Rob LaMorgese,"September 5, 2018",S8,1.30
